transaction_id,customer_id,transaction_date,amount
T00059,C0106,2023-10-01,54.65
T00060,C0193,2023-12-06,90.53
T00061,C0316,2024-02-16,53.59
T00062,C0302,2024-04-05,95.74
T00063,C0036,2023-09-18,280.51
T00064,C0204,2023-10-13,108.32
T00065,C0422,2023-01-01,58.78
T00066,C0267,2023-03-27,230.88
T00067,C0268,2023-12-04,87.54
T00068,C0170,2024-03-05,35.3
T00069,C0039,2023-03-10,76.83
T00070,C0139,2023-01-31,104.52
T00071,C0292,2023-07-17,161.63
T00072,C0052,2023-04-01,231.73
T00073,C0287,2024-03-15,53.64
T00074,C0289,2024-04-17,37.68
T00075,C0141,2023-12-15,30.75
T00076,C0146,2024-01-18,125.56
T00077,C0425,2024-02-16,143.91
T00078,C0314,2023-01-16,64.49
T00079,C0184,2023-11-06,62.8
T00080,C0152,2024-03-12,256.32
T00081,C0201,2024-01-31,211.38
T00082,C0128,2023-10-03,44.92
T00083,C0287,2023-12-04,138.84
T00084,C0311,2023-06-11,98.1
T00085,C0253,2024-03-12,37.56
T00086,C0266,2023-07-11,58.09
T00087,C0188,2023-05-31,39.65
T00088,C0386,2023-12-31,51.23
T00089,C0230,2024-02-15,96.65
T00090,C0271,2023-04-23,60.28
T00091,C0259,2023-09-30,62.57
T00092,C0299,2023-06-25,83.18
T00093,C0415,2023-05-29,31.84
T00094,C0198,2023-06-27,125.68
T00095,C0323,2024-02-28,63.53
T00096,C0056,2024-01-17,74.1
T00097,C0319,2023-08-11,299.59
T00098,C0203,2023-09-16,56.66
T00099,C0271,2023-09-30,103.36
T00100,C0109,2023-07-08,62.38
T00101,C0116,2023-11-02,193.52
T00102,C0092,2024-01-13,165.68
T00103,C0138,2023-03-31,45.74
T00104,C0422,2023-12-09,113.26
T00105,C0303,2023-09-19,30.05
T00106,C0057,2023-06-05,272.64
T00107,C0050,2023-07-19,57.19
T00108,C0071,2023-02-24,158.71
T00109,C0399,2023-09-11,53.75
T00110,C0402,2024-03-17,100.13
T00111,C0082,2023-06-22,333.24
T00112,C0372,2023-07-19,182.02
T00113,C0105,2024-02-07,38.11
T00114,C0088,2023-04-12,84.47
T00115,C0002,2023-10-12,57.14
T00116,C0360,2023-05-31,67.73
T00117,C0084,2023-04-21,55.62
T00118,C0043,2024-02-20,55.71
T00119,C0154,2023-09-23,83.66
T00120,C0327,2023-04-01,40.99
T00121,C0422,2023-06-26,82.82
T00122,C0094,2024-03-24,49.53
T00123,C0298,2023-08-19,50.58
T00124,C0133,2023-01-29,125.67
T00125,C0395,2024-03-18,27.25
T00126,C0065,2023-10-28,60.97
T00127,C0290,2023-07-14,64.26
T00128,C0376,2023-11-03,74.79
T00129,C0257,2023-08-27,107.93
T00130,C0386,2023-12-23,59.62
T00131,C0213,2024-04-23,42.98
T00132,C0148,2024-01-19,187.13
T00133,C0061,2023-09-24,322.4
T00134,C0149,2023-08-02,26.52
T00135,C0088,2023-03-23,84.3
T00136,C0324,2023-05-08,56.36
T00137,C0383,2024-04-27,49.32
T00138,C0396,2023-09-19,55.68
T00139,C0278,2023-03-08,101.39
T00140,C0404,2023-03-03,40.87
T00141,C0082,2023-05-13,208.02
T00142,C0129,2023-05-17,72.07
T00143,C0286,2023-01-28,54.54
T00144,C0382,2023-07-30,133.78
T00145,C0353,2024-04-20,26.24
T00146,C0280,2024-04-19,67.4
T00147,C0270,2023-07-24,57.92
T00148,C0292,2023-09-10,55.96
T00149,C0203,2023-02-07,55.83
T00150,C0024,2023-02-12,27.38
T00151,C0351,2023-04-27,37.38
T00152,C0311,2024-02-09,36.48
T00153,C0208,2024-04-19,360.63
T00154,C0280,2023-07-09,26.68
T00155,C0205,2023-02-15,38.71
T00156,C0152,2024-03-29,299.23
T00157,C0438,2023-06-15,99.22
T00158,C0026,2023-11-01,69.93
T00159,C0194,2023-07-22,31.15
T00160,C0336,2024-05-09,108.07
T00161,C0422,2023-08-21,36.12
T00162,C0238,2023-09-02,108.42
T00163,C0321,2023-07-28,315.38
T00164,C0075,2023-09-05,81.94
T00165,C0435,2023-10-22,43.07
T00166,C0163,2023-11-23,98.62
T00167,C0299,2024-01-18,78.95
T00168,C0029,2023-06-07,82.13
T00169,C0165,2024-02-09,73.77
T00170,C0337,2023-01-01,109.0
T00171,C0186,2023-08-05,88.64
T00172,C0054,2024-02-20,350.68
T00173,C0295,2023-09-06,156.09
T00174,C0042,2024-01-27,48.06
T00175,C0412,2023-03-10,122.03
T00176,C0285,2023-01-30,43.09
T00177,C0427,2023-04-25,139.36
T00178,C0387,2023-01-08,36.97
T00179,C0138,2024-01-04,73.12
T00180,C0187,2023-10-02,142.27
T00181,C0398,2024-05-06,49.65
T00182,C0204,2023-11-11,161.11
T00183,C0431,2024-03-14,102.49
T00184,C0042,2024-02-18,63.0
T00185,C0350,2023-12-01,66.3
T00186,C0416,2023-02-05,220.27
T00187,C0288,2023-11-07,43.42
T00188,C0426,2023-02-13,113.66
T00189,C0416,2023-06-04,117.14
T00190,C0026,2023-03-18,216.76
T00191,C0371,2023-03-19,118.66
T00192,C0385,2023-04-11,90.86
T00193,C0056,2024-03-13,199.61
T00194,C0253,2024-03-07,157.51
T00195,C0122,2023-01-30,119.61
T00196,C0106,2023-02-08,27.48
T00197,C0130,2023-08-27,60.07
T00198,C0337,2023-01-13,99.95
T00199,C0158,2023-05-02,80.4
T00200,C0376,2023-05-24,53.85
T00201,C0231,2023-06-21,36.7
T00202,C0308,2024-03-30,85.39
T00203,C0091,2024-01-03,50.26
T00204,C0393,2023-09-04,44.9
T00205,C0022,2023-09-04,63.18
T00206,C0290,2024-02-15,140.46
T00207,C0110,2023-02-14,75.19
T00208,C0049,2023-09-10,43.3
T00209,C0129,2024-01-10,34.32
T00210,C0073,2023-10-18,76.83
T00211,C0340,2023-07-26,143.62
T00212,C0053,2024-02-16,104.34
T00213,C0356,2024-04-27,44.81
T00214,C0380,2023-01-07,68.05
T00215,C0168,2024-03-21,169.95
T00216,C0045,2023-08-30,39.67
T00217,C0393,2023-04-20,81.96
T00218,C0105,2023-04-24,58.03
T00219,C0150,2023-11-03,34.94
T00220,C0146,2023-10-29,28.84
T00221,C0204,2023-10-03,85.87
T00222,C0362,2023-04-06,26.57
T00223,C0299,2023-10-21,33.19
T00224,C0167,2023-07-08,57.03
T00225,C0201,2023-12-26,28.34
T00226,C0134,2023-10-15,63.37
T00227,C0211,2023-06-03,35.48
T00228,C0048,2023-02-27,57.29
T00229,C0126,2024-02-27,142.46
T00230,C0239,2024-02-08,98.84
T00231,C0007,2023-12-04,69.21
T00232,C0272,2023-02-19,32.22
T00233,C0385,2023-07-26,97.4
T00234,C0371,2023-02-21,38.41
T00235,C0037,2023-12-08,30.98
T00236,C0211,2024-01-06,106.8
T00237,C0165,2023-05-30,207.33
T00238,C0125,2023-02-22,71.3
T00239,C0337,2023-08-01,28.14
T00240,C0192,2023-03-07,184.21
T00241,C0218,2023-08-20,30.2
T00242,C0214,2024-01-08,176.6
T00243,C0062,2023-10-26,62.3
T00244,C0328,2023-12-04,59.11
T00245,C0381,2023-05-31,83.7
T00246,C0161,2023-07-24,261.14
T00247,C0066,2023-11-16,196.76
T00248,C0286,2023-09-12,72.66
T00249,C0239,2024-05-03,114.26
T00250,C0020,2023-05-17,90.14
T00251,C0188,2024-01-04,113.68
T00252,C0082,2023-05-15,157.6
T00253,C0363,2024-02-29,27.63
T00254,C0202,2023-02-23,54.56
T00255,C0408,2023-03-06,265.17
T00256,C0132,2023-01-02,248.69
T00257,C0037,2023-05-12,25.85
T00258,C0132,2023-11-30,41.87
T00259,C0077,2023-02-01,405.88
T00260,C0089,2023-12-22,75.92
T00261,C0402,2024-01-21,88.8
T00262,C0253,2023-12-26,38.65
T00263,C0344,2024-05-12,193.56
T00264,C0194,2023-08-31,44.73
T00265,C0176,2023-07-11,40.77
T00266,C0033,2023-05-22,44.42
T00267,C0058,2023-05-28,214.08
T00268,C0201,2023-03-30,116.01
T00269,C0028,2024-05-04,134.77
T00270,C0035,2023-02-18,60.5
T00271,C0125,2023-05-16,204.91
T00272,C0394,2024-04-20,141.84
T00273,C0321,2023-07-10,129.15
T00274,C0042,2024-03-05,290.38
T00275,C0085,2023-05-29,59.2
T00276,C0393,2023-03-28,95.81
T00277,C0188,2024-02-20,205.54
T00278,C0111,2023-01-08,142.37
T00279,C0271,2023-08-11,87.15
T00280,C0325,2023-12-23,30.95
T00281,C0105,2023-01-16,104.32
T00282,C0406,2023-10-23,81.08
T00283,C0320,2023-04-16,40.27
T00284,C0041,2023-10-10,185.44
T00285,C0215,2023-04-14,56.53
T00286,C0071,2023-12-27,61.76
T00287,C0056,2023-05-26,108.7
T00288,C0407,2023-02-04,75.32
T00289,C0236,2023-04-23,32.01
T00290,C0281,2023-11-04,61.76
T00291,C0105,2024-02-03,32.44
T00292,C0390,2024-03-22,40.87
T00293,C0375,2023-02-22,25.54
T00294,C0162,2023-12-13,40.0
T00295,C0191,2023-03-22,55.09
T00296,C0009,2023-04-14,82.95
T00297,C0060,2023-11-18,213.76
T00298,C0381,2024-01-04,83.29
T00299,C0305,2023-08-30,116.71
T00300,C0225,2023-01-31,58.2
T00301,C0307,2023-11-13,129.46
T00302,C0188,2023-07-11,97.66
T00303,C0070,2023-12-23,71.19
T00304,C0293,2023-12-27,41.15
T00305,C0287,2023-08-21,52.13
T00306,C0169,2023-04-08,97.76
T00307,C0062,2023-02-03,66.64
T00308,C0349,2023-08-31,190.13
T00309,C0014,2024-03-14,45.08
T00310,C0164,2023-02-28,30.69
T00311,C0420,2023-09-16,91.75
T00312,C0245,2023-01-17,187.9
T00313,C0335,2023-03-19,59.03
T00314,C0008,2023-07-25,103.25
T00315,C0154,2023-10-29,44.74
T00316,C0036,2023-06-15,86.31
T00317,C0048,2023-10-18,140.91
T00318,C0085,2024-01-20,176.32
T00319,C0028,2023-04-22,33.33
T00320,C0196,2024-02-17,58.05
T00321,C0208,2024-01-23,101.55
T00322,C0204,2023-11-13,27.65
T00323,C0307,2023-12-19,112.99
T00324,C0104,2023-05-25,81.31
T00325,C0230,2023-06-05,50.54
T00326,C0426,2023-06-27,151.42
T00327,C0101,2023-12-12,50.69
T00328,C0029,2023-05-16,381.83
T00329,C0127,2024-02-22,152.11
T00330,C0338,2023-11-11,117.32
T00331,C0010,2023-01-18,29.75
T00332,C0106,2023-12-17,201.0
T00333,C0167,2024-03-18,142.07
T00334,C0257,2023-06-04,44.51
T00335,C0295,2023-09-29,62.35
T00336,C0277,2023-09-23,48.46
T00337,C0065,2023-12-26,337.11
T00338,C0271,2023-11-28,169.41
T00339,C0388,2024-02-10,224.69
T00340,C0188,2023-01-16,141.61
T00341,C0317,2023-01-12,70.71
T00342,C0404,2023-03-16,42.25
T00343,C0138,2023-07-31,42.5
T00344,C0343,2023-06-28,37.34
T00345,C0105,2023-05-09,84.33
T00346,C0034,2023-10-10,214.4
T00347,C0380,2023-07-14,385.25
T00348,C0110,2023-09-25,50.4
T00349,C0432,2023-01-30,114.63
T00350,C0033,2023-01-09,93.18
T00351,C0354,2023-11-05,75.34
T00352,C0231,2024-03-20,107.19
T00353,C0317,2023-11-06,59.82
T00354,C0266,2023-06-14,241.83
T00355,C0182,2023-07-12,116.67
T00356,C0340,2024-03-01,130.24
T00357,C0065,2023-11-01,45.82
T00358,C0333,2023-09-17,38.85
T00359,C0001,2023-07-11,62.61
T00360,C0133,2023-03-20,134.15
T00361,C0080,2023-06-28,234.52
T00362,C0271,2023-04-01,66.81
T00363,C0241,2024-03-31,136.59
T00364,C0028,2024-03-19,72.67
T00365,C0223,2023-08-03,51.24
T00366,C0023,2023-03-20,125.82
T00367,C0109,2024-04-19,145.04
T00368,C0107,2024-02-19,42.0
T00369,C0145,2023-04-13,52.31
T00370,C0369,2023-04-21,76.21
T00371,C0354,2024-03-31,40.48
T00372,C0397,2024-04-22,223.21
T00373,C0398,2023-11-10,92.11
T00374,C0139,2023-09-04,34.69
T00375,C0284,2023-08-22,40.25
T00376,C0298,2023-03-23,256.52
T00377,C0099,2023-05-12,125.5
T00378,C0317,2024-05-09,124.43
T00379,C0123,2023-08-23,30.64
T00380,C0320,2023-10-05,194.25
T00381,C0287,2024-01-22,68.99
T00382,C0081,2023-12-01,105.85
T00383,C0010,2023-04-09,265.84
T00384,C0008,2024-03-06,32.9
T00385,C0405,2023-02-07,74.37
T00386,C0205,2023-06-10,28.82
T00387,C0315,2024-04-06,76.92
T00388,C0434,2024-03-07,46.8
T00389,C0197,2024-03-24,206.49
T00390,C0198,2023-04-27,63.12
T00391,C0030,2023-08-29,100.36
T00392,C0401,2023-01-26,172.61
T00393,C0020,2023-05-16,333.71
T00394,C0048,2023-02-19,77.56
T00395,C0130,2024-04-08,70.63
T00396,C0293,2023-10-21,30.91
T00397,C0385,2024-01-29,25.96
T00398,C0132,2023-10-25,95.39
T00399,C0356,2023-10-20,30.08
T00400,C0054,2023-06-03,60.9
T00401,C0378,2023-08-08,25.27
T00402,C0281,2023-05-20,96.63
T00403,C0387,2024-04-12,66.56
T00404,C0265,2023-02-18,35.19
T00405,C0215,2023-05-22,51.36
T00406,C0290,2023-02-15,88.24
T00407,C0043,2023-06-12,105.19
T00408,C0074,2023-10-12,71.54
T00409,C0350,2023-09-25,147.21
T00410,C0278,2023-04-26,33.95
T00411,C0326,2023-03-23,31.63
T00412,C0242,2023-02-13,28.39
T00413,C0130,2023-07-13,82.56
T00414,C0350,2023-09-15,116.87
T00415,C0194,2024-03-18,35.49
T00416,C0032,2023-09-30,101.4
T00417,C0106,2024-01-29,73.61
T00418,C0400,2023-10-01,352.72
T00419,C0204,2023-10-05,119.8
T00420,C0001,2023-03-24,105.36
T00421,C0245,2023-02-27,88.38
T00422,C0072,2023-02-22,470.45
T00423,C0432,2023-01-01,320.14
T00424,C0306,2023-08-04,82.93
T00425,C0397,2023-11-13,70.55
T00426,C0015,2023-08-16,71.51
T00427,C0053,2024-04-17,66.94
T00428,C0428,2024-04-28,81.85
T00429,C0008,2023-09-11,48.97
T00430,C0330,2023-06-08,221.08
T00431,C0046,2023-10-14,75.53
T00432,C0325,2023-03-07,163.39
T00433,C0114,2024-02-07,73.37
T00434,C0147,2023-11-05,120.02
T00435,C0166,2024-04-04,55.81
T00436,C0379,2024-04-02,98.52
T00437,C0139,2023-04-05,76.74
T00438,C0117,2024-05-07,59.31
T00439,C0299,2023-09-10,185.0
T00440,C0276,2023-05-30,33.97
T00441,C0404,2023-01-23,75.05
T00442,C0277,2023-09-01,41.21
T00443,C0338,2023-08-03,173.03
T00444,C0313,2024-02-03,46.92
T00445,C0178,2024-02-14,100.27
T00446,C0330,2023-05-11,38.57
T00447,C0354,2023-12-09,63.93
T00448,C0154,2023-05-28,197.21
T00449,C0414,2024-01-16,38.62
T00450,C0201,2023-04-19,106.62
T00451,C0366,2023-02-09,42.16
T00452,C0115,2023-05-01,65.31
T00453,C0159,2023-10-22,83.34
T00454,C0042,2023-04-30,89.58
T00455,C0247,2024-03-31,94.19
T00456,C0068,2023-01-18,101.65
T00457,C0326,2023-06-18,48.79
T00458,C0334,2023-07-17,63.48
T00459,C0196,2024-02-15,27.85
T00460,C0090,2024-04-28,134.82
T00461,C0111,2023-05-23,161.1
T00462,C0368,2023-02-06,41.66
T00463,C0359,2023-07-05,41.87
T00464,C0145,2023-09-18,28.22
T00465,C0275,2023-08-19,288.96
T00466,C0179,2023-09-11,148.45
T00467,C0241,2023-11-25,58.55
T00468,C0326,2024-01-26,74.32
T00469,C0319,2023-10-24,50.89
T00470,C0331,2024-04-12,93.21
T00471,C0414,2023-01-10,119.75
T00472,C0153,2024-03-21,69.48
T00473,C0104,2024-02-14,180.12
T00474,C0075,2023-11-20,79.58
T00475,C0128,2023-08-18,36.68
T00476,C0199,2023-01-24,98.02
T00477,C0154,2023-03-19,71.52
T00478,C0056,2024-02-29,230.78
T00479,C0278,2023-07-12,62.31
T00480,C0345,2024-02-05,63.67
T00481,C0019,2023-04-19,103.9
T00482,C0159,2023-10-07,81.15
T00483,C0026,2024-02-15,60.18
T00484,C0426,2023-09-20,368.71
T00485,C0169,2023-11-25,51.99
T00486,C0023,2023-12-29,49.38
T00487,C0047,2023-12-21,174.87
T00488,C0013,2024-01-13,25.25
T00489,C0217,2023-09-25,41.85
T00490,C0322,2023-12-07,91.95
T00491,C0194,2023-09-16,38.3
T00492,C0144,2023-12-01,344.11
T00493,C0073,2023-03-26,71.8
T00494,C0156,2023-01-10,93.23
T00495,C0077,2023-10-16,38.11
T00496,C0419,2023-10-29,50.62
T00497,C0169,2023-02-28,96.52
T00498,C0287,2023-11-04,84.81
T00499,C0085,2023-09-19,140.06
T00500,C0416,2024-01-21,48.52
T00501,C0182,2023-10-12,104.5
T00502,C0315,2023-04-29,50.79
T00503,C0297,2023-06-17,91.28
T00504,C0112,2023-12-19,94.67
T00505,C0230,2023-07-08,34.74
T00506,C0096,2024-03-27,84.66
T00507,C0438,2023-09-08,25.9
T00508,C0168,2023-11-20,77.17
T00509,C0378,2024-02-17,114.68
T00510,C0156,2023-08-17,30.67
T00511,C0421,2023-07-09,234.41
T00512,C0105,2023-11-12,71.04
T00513,C0193,2023-05-04,234.05
T00514,C0330,2023-03-25,33.52
T00515,C0132,2023-10-24,249.53
T00516,C0355,2023-08-03,33.67
T00517,C0382,2023-08-25,71.42
T00518,C0138,2024-04-10,233.54
T00519,C0431,2023-04-23,44.87
T00520,C0331,2023-08-05,27.66
T00521,C0270,2023-11-17,143.17
T00522,C0038,2023-09-03,92.95
T00523,C0396,2024-03-23,79.1
T00524,C0045,2023-12-01,27.62
T00525,C0401,2023-11-15,104.43
T00526,C0163,2024-04-26,39.12
T00527,C0331,2024-03-07,225.74
T00528,C0253,2024-02-08,111.81
T00529,C0169,2024-01-09,117.08
T00530,C0285,2023-02-06,44.85
T00531,C0274,2023-03-05,184.49
T00532,C0020,2023-08-07,82.87
T00533,C0239,2023-12-08,170.91
T00534,C0270,2024-05-13,48.7
T00535,C0418,2024-01-24,130.63
T00536,C0433,2023-02-03,89.1
T00537,C0310,2023-02-08,28.72
T00538,C0031,2023-03-08,63.98
T00539,C0314,2023-07-28,40.24
T00540,C0104,2023-11-14,58.37
T00541,C0170,2023-12-10,61.26
T00542,C0186,2023-06-01,73.32
T00543,C0128,2024-01-22,93.78
T00544,C0210,2023-12-31,88.47
T00545,C0414,2023-07-18,27.98
T00546,C0281,2023-03-30,129.18
T00547,C0253,2023-09-05,248.47
T00548,C0019,2023-11-19,57.16
T00549,C0200,2023-03-20,39.86
T00550,C0220,2024-04-21,83.24
T00551,C0136,2024-03-09,116.54
T00552,C0223,2023-10-12,110.2
T00553,C0003,2023-11-26,96.03
T00554,C0236,2023-02-01,36.86
T00555,C0342,2023-03-28,160.97
T00556,C0228,2023-02-08,66.59
T00557,C0401,2024-01-28,43.78
T00558,C0142,2023-04-11,31.77
T00559,C0009,2023-09-01,65.43
T00560,C0190,2023-08-20,97.17
T00561,C0350,2024-02-02,107.11
T00562,C0405,2023-03-09,271.73
T00563,C0165,2023-07-11,37.47
T00564,C0139,2024-02-08,343.95
T00565,C0276,2023-01-28,104.75
T00566,C0291,2023-09-27,70.42
T00567,C0053,2024-03-03,189.32
T00568,C0175,2023-08-14,113.93
T00569,C0110,2023-03-18,57.16
T00570,C0203,2023-08-11,186.62
T00571,C0436,2024-04-25,107.38
T00572,C0136,2024-01-07,115.01
T00573,C0004,2023-06-16,195.03
T00574,C0155,2023-10-11,69.62
T00575,C0172,2023-07-11,105.23
T00576,C0424,2023-03-30,127.4
T00577,C0358,2023-02-01,70.38
T00578,C0047,2023-05-17,31.54
T00579,C0094,2023-06-05,135.7
T00580,C0428,2023-09-07,28.67
T00581,C0048,2023-04-05,119.92
T00582,C0240,2023-01-17,206.33
T00583,C0347,2023-04-27,56.96
T00584,C0213,2024-04-15,33.07
T00585,C0436,2023-11-29,44.88
T00586,C0340,2023-11-07,86.96
T00587,C0324,2023-01-10,239.41
T00588,C0139,2023-03-21,78.85
T00589,C0205,2023-05-14,33.97
T00590,C0381,2024-03-07,99.12
T00591,C0073,2023-07-22,123.99
T00592,C0004,2023-04-26,62.48
T00593,C0076,2024-03-26,120.88
T00594,C0329,2023-08-08,54.46
T00595,C0077,2023-09-10,141.72
T00596,C0304,2023-06-18,56.29
T00597,C0256,2023-12-01,47.19
T00598,C0410,2023-11-12,183.51
T00599,C0102,2023-07-24,84.63
T00600,C0106,2023-10-25,50.18
T00601,C0333,2024-01-07,230.1
T00602,C0039,2023-09-05,113.04
T00603,C0314,2023-12-31,43.7
T00604,C0275,2024-04-09,96.52
T00605,C0088,2023-03-12,178.22
T00606,C0211,2023-06-05,114.34
T00607,C0369,2023-04-12,46.05
T00608,C0077,2023-01-13,103.49
T00609,C0077,2024-04-09,97.4
T00610,C0028,2023-09-28,153.96
T00611,C0245,2023-10-19,39.71
T00612,C0066,2023-08-08,115.21
T00613,C0266,2023-01-15,27.08
T00614,C0382,2023-08-26,114.35
T00615,C0205,2023-04-27,267.24
T00616,C0058,2023-11-27,39.37
T00617,C0201,2023-02-25,52.97
T00618,C0225,2023-12-17,90.58
T00619,C0142,2023-05-12,123.87
T00620,C0381,2024-04-27,56.66
T00621,C0368,2023-08-14,106.86
T00622,C0084,2023-11-04,197.15
T00623,C0143,2024-04-19,122.25
T00624,C0352,2024-01-29,118.11
T00625,C0033,2023-08-10,61.09
T00626,C0401,2023-06-22,206.8
T00627,C0152,2023-12-06,49.36
T00628,C0158,2023-10-12,42.23
T00629,C0141,2023-11-05,58.97
T00630,C0251,2023-06-06,103.77
T00631,C0303,2023-05-31,173.36
T00632,C0112,2023-07-04,35.62
T00633,C0144,2023-06-27,151.07
T00634,C0209,2023-01-21,150.68
T00635,C0224,2023-04-22,91.31
T00636,C0043,2023-06-20,132.24
T00637,C0264,2023-05-18,40.06
T00638,C0244,2023-08-21,38.94
T00639,C0003,2023-11-28,173.97
T00640,C0125,2023-01-30,76.71
T00641,C0268,2024-01-16,46.17
T00642,C0084,2023-11-03,112.53
T00643,C0016,2023-06-10,191.84
T00644,C0334,2024-02-06,100.04
T00645,C0059,2023-03-19,57.0
T00646,C0177,2023-10-05,74.51
T00647,C0063,2023-11-16,129.66
T00648,C0049,2023-01-21,30.24
T00649,C0307,2024-01-20,43.36
T00650,C0246,2024-05-11,71.57
T00651,C0289,2023-12-29,94.52
T00652,C0286,2024-01-07,56.07
T00653,C0332,2024-01-15,51.58
T00654,C0015,2023-05-23,28.17
T00655,C0338,2023-02-05,27.49
T00656,C0255,2023-10-30,49.5
T00657,C0092,2024-03-13,81.71
T00658,C0279,2023-08-02,85.96
T00659,C0206,2023-02-01,76.1
T00660,C0094,2023-07-05,64.56
T00661,C0225,2023-06-23,46.81
T00662,C0301,2023-02-23,63.4
T00663,C0318,2023-06-10,36.2
T00664,C0199,2023-09-07,34.18
T00665,C0271,2024-05-03,51.74
T00666,C0234,2023-09-08,427.8
T00667,C0046,2024-02-27,54.64
T00668,C0064,2023-10-06,231.7
T00669,C0230,2023-06-20,62.35
T00670,C0430,2023-07-02,68.35
T00671,C0249,2023-01-02,144.61
T00672,C0246,2023-07-13,32.37
T00673,C0428,2023-06-15,40.1
T00674,C0075,2023-09-04,298.27
T00675,C0157,2024-05-13,77.88
T00676,C0223,2024-02-17,28.4
T00677,C0190,2023-09-01,28.64
T00678,C0052,2023-04-20,203.33
T00679,C0438,2024-01-15,179.98
T00680,C0088,2023-11-19,70.99
T00681,C0313,2024-05-01,38.36
T00682,C0339,2023-03-12,158.02
T00683,C0066,2023-06-13,54.43
T00684,C0150,2023-10-12,65.73
T00685,C0020,2024-01-10,111.04
T00686,C0033,2024-02-25,57.7
T00687,C0328,2023-04-23,99.3
T00688,C0281,2023-08-16,187.4
T00689,C0046,2024-04-15,144.73
T00690,C0073,2023-10-28,61.05
T00691,C0354,2023-01-16,50.47
T00692,C0313,2024-05-10,50.21
T00693,C0343,2023-01-31,57.15
T00694,C0133,2023-06-11,76.02
T00695,C0055,2023-11-02,65.42
T00696,C0061,2023-07-12,35.7
T00697,C0345,2023-07-29,38.39
T00698,C0008,2024-01-13,56.5
T00699,C0272,2024-03-21,86.93
T00700,C0246,2023-08-20,92.36
T00701,C0176,2024-03-02,74.95
T00702,C0116,2023-07-03,125.68
T00703,C0317,2023-01-15,125.24
T00704,C0271,2024-03-07,66.85
T00705,C0193,2023-11-01,34.97
T00706,C0150,2023-07-28,81.65
T00707,C0131,2023-06-21,61.03
T00708,C0102,2023-09-23,36.13
T00709,C0310,2023-01-20,325.55
T00710,C0270,2023-03-11,59.62
T00711,C0292,2023-01-08,98.72
T00712,C0210,2024-03-04,75.52
T00713,C0361,2023-02-03,36.56
T00714,C0338,2023-08-12,29.29
T00715,C0067,2023-06-28,98.72
T00716,C0010,2023-09-03,46.28
T00717,C0049,2024-05-04,45.94
T00718,C0111,2023-09-17,260.95
T00719,C0321,2023-04-18,71.46
T00720,C0219,2023-08-30,27.24
T00721,C0057,2024-02-27,56.15
T00722,C0283,2024-04-12,90.87
T00723,C0113,2023-01-24,54.88
T00724,C0133,2023-08-04,27.04
T00725,C0071,2023-02-24,69.07
T00726,C0083,2023-01-26,33.4
T00727,C0057,2023-10-08,97.4
T00728,C0376,2023-10-19,97.49
T00729,C0349,2023-11-23,27.89
T00730,C0271,2024-04-02,50.76
T00731,C0111,2023-07-05,65.04
T00732,C0357,2024-05-09,84.93
T00733,C0375,2023-01-12,51.33
T00734,C0076,2023-05-09,50.45
